user_id,edad,sexo,estado_civil,numero_hijos,empleo_formal,ingreso_mensual,linea_credito,credito_utilizado,frecuencia_ahorro,monto_promedio_ahorro,perfil_financiero
34,58,F,Soltero,2,0,49853,120000,74044,Baja,1495.59,En riesgo
35,27,M,Soltero,1,0,11433,120000,80864,Baja,342.99,En riesgo
36,48,F,Divorciado,4,1,42034,120000,75385,Alta,9247.48,En riesgo
37,57,F,Divorciado,0,0,11800,80000,6613,Baja,354.0,En observacion
38,36,M,Unión libre,4,0,8110,120000,107577,Alta,1784.2,En riesgo
39,39,M,Casado,4,0,73004,80000,50222,Baja,2190.12,En riesgo
40,24,F,Divorciado,0,1,32833,30000,1169,Baja,984.99,En observacion
41,32,F,Casado,4,0,38107,15000,6745,Alta,8383.54,En observacion
42,63,M,Casado,1,0,13393,50000,37652,Baja,401.79,En riesgo
43,34,M,Soltero,1,1,68429,30000,11710,Baja,2052.87,En observacion
44,36,F,Unión libre,3,0,61383,50000,28046,Baja,1841.49,En observacion
45,40,F,Divorciado,2,0,40011,30000,7688,Media,4001.1,En observacion
46,65,M,Casado,2,1,48536,50000,44908,Baja,1456.08,En riesgo
47,56,M,Soltero,2,1,47650,80000,48614,Baja,1429.5,En riesgo
48,60,F,Unión libre,2,0,73987,15000,1866,Media,7398.7,En observacion
49,70,M,Soltero,1,0,34920,50000,10291,Media,3492.0,En observacion
50,65,M,Unión libre,0,1,22461,15000,6055,Media,2246.1,En observacion
51,21,M,Casado,4,0,72615,120000,98617,Media,7261.5,En riesgo
52,25,F,Divorciado,1,0,31006,15000,9636,Baja,930.18,En riesgo
53,48,F,Casado,1,0,13776,15000,2091,Media,1377.6,En observacion
54,45,F,Divorciado,3,1,56170,80000,41552,Baja,1685.1,En observacion
55,43,M,Soltero,1,1,70685,15000,6373,Alta,15550.7,En observacion
56,32,M,Casado,1,0,62484,120000,14114,Alta,13746.48,Saludable
57,34,F,Divorciado,2,1,45122,80000,73681,Media,4512.2,En riesgo
58,61,M,Soltero,0,1,8947,120000,103442,Alta,1968.34,En riesgo
59,38,F,Soltero,2,0,78202,30000,27758,Media,7820.2,En riesgo
60,66,M,Soltero,0,1,55652,120000,22492,Media,5565.2,En observacion
61,21,F,Casado,4,1,68003,30000,14383,Alta,14960.66,En observacion
62,62,M,Divorciado,1,1,21508,120000,80098,Baja,645.24,En riesgo
63,58,M,Divorciado,1,1,43231,30000,19059,Media,4323.1,En riesgo
64,62,M,Casado,2,0,34644,15000,5937,Media,3464.4,En observacion
65,50,M,Soltero,4,1,70515,120000,113876,Alta,15513.3,En riesgo
66,39,F,Casado,1,1,62932,80000,62324,Media,6293.2,En riesgo
67,51,M,Divorciado,1,0,24558,120000,15515,Media,2455.8,En observacion
68,63,F,Casado,3,1,38493,120000,8681,Media,3849.3,En observacion
69,51,F,Soltero,0,0,22559,30000,3774,Baja,676.77,En observacion
70,54,F,Unión libre,0,0,73395,30000,15280,Media,7339.5,En observacion
71,43,F,Soltero,3,1,63683,30000,916,Baja,1910.49,En observacion
72,22,M,Casado,4,1,21226,15000,8170,Baja,636.78,En observacion
73,64,F,Divorciado,3,1,29305,80000,61254,Media,2930.5,En riesgo
74,41,F,Casado,3,1,38115,120000,108504,Alta,8385.3,En riesgo
75,36,M,Soltero,3,1,72651,50000,5692,Alta,15983.22,Saludable
76,36,M,Unión libre,2,1,36261,120000,96119,Baja,1087.83,En riesgo
77,26,M,Casado,4,0,29783,30000,14339,Alta,6552.26,En observacion
78,28,F,Casado,3,1,72237,50000,44916,Baja,2167.11,En riesgo
79,23,M,Unión libre,1,1,42189,15000,1889,Media,4218.9,En observacion
80,25,F,Divorciado,2,0,56404,50000,27898,Media,5640.4,En observacion
81,24,F,Casado,1,0,45925,30000,28340,Baja,1377.75,En riesgo
82,48,F,Unión libre,1,0,27205,120000,38316,Alta,5985.1,En observacion
83,46,F,Casado,1,0,38382,30000,10066,Media,3838.2,En observacion
84,66,M,Divorciado,2,1,67151,30000,21313,Media,6715.1,En riesgo
85,43,F,Unión libre,4,1,11732,15000,5432,Baja,351.96,En observacion
86,70,M,Casado,3,0,62920,80000,77518,Baja,1887.6,En riesgo
87,38,M,Soltero,1,1,74338,120000,38824,Media,7433.8,En observacion
88,51,M,Soltero,2,1,48142,15000,13107,Alta,10591.24,En riesgo
89,36,F,Unión libre,4,1,22220,15000,6470,Alta,4888.4,En observacion
90,47,F,Unión libre,2,0,59488,30000,15408,Baja,1784.64,En observacion
91,67,M,Soltero,0,0,52713,120000,9225,Baja,1581.39,En observacion
92,54,F,Casado,1,1,38005,120000,79873,Baja,1140.15,En riesgo
93,48,M,Soltero,1,0,28005,30000,16403,Media,2800.5,En observacion
94,59,M,Divorciado,4,1,38345,15000,4694,Media,3834.5,En observacion
95,25,M,Soltero,1,1,71733,30000,186,Media,7173.3,En observacion
96,59,F,Unión libre,1,1,71483,50000,37236,Media,7148.3,En riesgo
97,48,M,Casado,1,0,12757,80000,47785,Baja,382.71,En observacion
98,36,F,Soltero,2,1,58666,80000,10239,Media,5866.6,En observacion
99,68,M,Soltero,0,1,31274,15000,2186,Baja,938.22,En observacion
100,37,M,Casado,4,1,59748,50000,280,Media,5974.8,En observacion
101,54,F,Soltero,2,1,62464,15000,5163,Alta,13742.08,En observacion
102,35,M,Soltero,3,1,73231,15000,1877,Media,7323.1,En observacion
103,33,F,Soltero,2,1,69785,30000,17448,Media,6978.5,En observacion
104,53,F,Divorciado,4,0,14924,120000,23565,Media,1492.4,En observacion
105,25,F,Unión libre,4,0,77375,15000,4286,Media,7737.5,En observacion
106,33,F,Unión libre,3,1,42588,50000,39064,Baja,1277.64,En riesgo
107,19,F,Casado,1,0,22202,30000,27498,Media,2220.2,En riesgo
108,66,F,Casado,4,0,53160,15000,9100,Media,5316.0,En riesgo
109,68,M,Casado,1,0,51369,15000,9915,Media,5136.9,En riesgo
110,42,F,Soltero,4,1,71932,50000,17151,Baja,2157.96,En observacion
111,55,F,Casado,3,0,63452,80000,57811,Media,6345.2,En riesgo
112,21,F,Casado,4,1,77074,80000,14747,Baja,2312.22,En observacion
113,63,F,Casado,4,1,10239,15000,3749,Alta,2252.58,Saludable
114,49,F,Casado,3,0,22969,30000,812,Baja,689.07,En observacion
115,46,M,Casado,0,0,42013,120000,6137,Media,4201.3,En observacion
116,43,M,Divorciado,3,0,75605,30000,22943,Baja,2268.15,En riesgo
117,30,M,Casado,4,1,66207,15000,13138,Baja,1986.21,En riesgo
118,18,F,Casado,4,0,27278,120000,59833,Alta,6001.16,En observacion
119,22,F,Divorciado,0,0,24581,15000,1425,Baja,737.43,En observacion
120,69,F,Divorciado,4,0,62018,50000,8618,Media,6201.8,En observacion
121,24,F,Casado,1,1,14490,50000,46418,Media,1449.0,En riesgo
122,33,F,Casado,0,0,67975,50000,23181,Media,6797.5,En observacion
123,20,M,Soltero,3,1,14164,80000,33222,Media,1416.4,En observacion
124,34,M,Casado,4,1,39381,30000,23598,Alta,8663.82,En riesgo
125,47,F,Casado,4,1,60468,50000,26655,Baja,1814.04,En observacion
126,69,M,Soltero,0,0,43593,80000,64458,Baja,1307.79,En riesgo
127,49,F,Unión libre,4,1,67000,50000,5834,Media,6700.0,En observacion
128,31,F,Unión libre,3,1,77306,120000,51328,Baja,2319.18,En observacion
129,29,M,Unión libre,4,0,52989,80000,51668,Media,5298.9,En riesgo
130,59,F,Casado,4,1,31577,15000,7069,Media,3157.7,En observacion
131,21,F,Divorciado,4,1,29497,80000,57166,Alta,6489.34,En riesgo
132,64,M,Divorciado,2,0,42763,50000,20711,Baja,1282.89,En observacion
133,50,F,Divorciado,2,0,66802,15000,896,Media,6680.2,En observacion
134,63,M,Divorciado,4,1,45681,30000,21317,Baja,1370.43,En riesgo
135,50,F,Casado,1,1,39718,120000,7910,Media,3971.8,En observacion
136,21,F,Unión libre,0,0,26900,50000,35650,Alta,5918.0,En riesgo
137,23,F,Soltero,1,1,31735,30000,29863,Media,3173.5,En riesgo
138,31,M,Soltero,0,0,10382,120000,68025,Media,1038.2,En observacion
139,25,M,Soltero,3,0,36713,15000,4333,Media,3671.3,En observacion
140,23,F,Divorciado,2,1,29446,50000,16828,Media,2944.6,En observacion
141,53,M,Divorciado,1,0,34581,120000,115227,Media,3458.1,En riesgo
142,51,M,Casado,3,1,17554,50000,32981,Alta,3861.88,En riesgo
143,29,F,Divorciado,1,1,44655,80000,75703,Baja,1339.65,En riesgo
144,43,M,Divorciado,1,0,78438,15000,5682,Media,7843.8,En observacion
145,28,M,Casado,1,1,9130,15000,8737,Baja,273.9,En observacion
146,18,F,Casado,4,1,49019,80000,35116,Baja,1470.57,En observacion
147,49,M,Casado,3,1,34748,30000,15192,Baja,1042.44,En observacion
148,64,F,Soltero,1,1,61234,80000,17358,Baja,1837.02,En observacion
149,30,F,Divorciado,4,0,79848,30000,7056,Media,7984.8,En observacion
150,67,M,Divorciado,0,1,19773,80000,31312,Alta,4350.06,En observacion
151,61,M,Divorciado,3,1,55626,50000,19416,Media,5562.6,En observacion
152,40,F,Casado,2,1,51276,80000,53234,Baja,1538.28,En riesgo
153,38,M,Casado,3,1,57291,120000,112651,Media,5729.1,En riesgo
154,65,F,Soltero,2,1,12506,120000,97005,Media,1250.6,En riesgo
155,19,M,Unión libre,3,0,16326,80000,2605,Alta,3591.72,Saludable
156,44,M,Casado,1,1,26928,30000,21422,Media,2692.8,En riesgo
157,21,M,Divorciado,4,1,22920,50000,41142,Media,2292.0,En riesgo
158,48,F,Soltero,2,0,47902,50000,26450,Baja,1437.06,En observacion
159,43,M,Soltero,1,0,15108,30000,16456,Media,1510.8,En observacion
160,63,F,Divorciado,4,0,47034,15000,5550,Media,4703.4,En observacion
161,66,M,Casado,1,0,43674,50000,14119,Media,4367.4,En observacion
162,21,M,Unión libre,0,1,64713,80000,45595,Alta,14236.86,En observacion
163,68,F,Unión libre,0,1,32454,120000,117282,Media,3245.4,En riesgo
164,31,F,Casado,3,1,19108,120000,8099,Baja,573.24,En observacion
165,63,F,Soltero,0,1,61319,30000,10318,Baja,1839.57,En observacion
166,22,M,Unión libre,1,0,43971,120000,84636,Baja,1319.13,En riesgo
167,30,M,Soltero,0,1,18871,30000,2398,Baja,566.13,En observacion
168,55,M,Divorciado,1,1,8342,15000,13284,Baja,250.26,En riesgo
169,44,M,Divorciado,4,1,11221,15000,11939,Media,1122.1,En riesgo
170,31,F,Divorciado,2,1,39501,30000,960,Alta,8690.22,Saludable
171,18,M,Divorciado,4,0,18988,120000,109085,Media,1898.8,En riesgo
172,46,M,Divorciado,3,1,22930,15000,5881,Baja,687.9,En observacion
173,41,F,Divorciado,1,1,20903,30000,17841,Alta,4598.66,En observacion
174,49,F,Casado,1,0,58989,30000,26295,Alta,12977.58,En riesgo
175,29,M,Divorciado,2,1,9889,15000,14607,Media,988.9,En riesgo
176,45,M,Soltero,2,1,18752,15000,431,Alta,4125.44,Saludable
177,63,M,Divorciado,1,0,66523,50000,18346,Alta,14635.06,En observacion
178,38,F,Divorciado,1,1,30902,30000,2198,Baja,927.06,En observacion
179,38,F,Divorciado,3,0,48032,50000,19895,Baja,1440.96,En observacion
180,37,M,Soltero,2,1,14262,50000,15293,Media,1426.2,En observacion
181,48,F,Divorciado,4,0,76144,50000,28566,Media,7614.4,En observacion
182,42,F,Soltero,3,0,55401,50000,19856,Media,5540.1,En observacion
183,51,F,Unión libre,0,1,28459,15000,12275,Media,2845.9,En riesgo
184,44,F,Soltero,3,0,20295,80000,19304,Baja,608.85,En observacion
185,55,F,Divorciado,2,1,42606,50000,7622,Media,4260.6,En observacion
186,34,F,Unión libre,2,1,52648,30000,3494,Baja,1579.44,En observacion
187,54,M,Divorciado,4,1,74259,30000,19444,Alta,16336.98,En riesgo
188,65,F,Divorciado,1,1,50525,15000,699,Media,5052.5,En observacion
189,33,F,Soltero,2,0,48640,120000,33282,Alta,10700.8,Saludable
190,47,M,Soltero,4,0,14516,80000,79122,Media,1451.6,En riesgo
191,43,F,Soltero,4,0,31552,30000,18976,Baja,946.56,En riesgo
192,28,F,Casado,3,0,58921,50000,1397,Baja,1767.63,En observacion
193,65,M,Unión libre,2,0,15177,50000,1563,Media,1517.7,En observacion
194,32,M,Divorciado,2,0,76123,15000,5250,Media,7612.3,En observacion
195,54,M,Divorciado,4,0,11949,120000,14661,Alta,2628.78,Saludable
196,51,F,Soltero,0,1,30005,30000,3810,Media,3000.5,En observacion
197,55,M,Casado,1,0,73673,50000,18515,Baja,2210.19,En observacion
198,19,M,Unión libre,0,0,13068,15000,3394,Media,1306.8,En observacion
199,52,M,Casado,0,1,57545,50000,30929,Alta,12659.9,En riesgo
200,62,F,Soltero,4,1,61786,80000,67066,Media,6178.6,En riesgo
201,22,F,Casado,2,1,67843,50000,27418,Baja,2035.29,En observacion
202,69,F,Divorciado,0,0,41382,50000,13956,Media,4138.2,En observacion
203,28,F,Casado,2,0,16087,80000,69414,Media,1608.7,En riesgo
204,55,F,Divorciado,0,1,18041,50000,34028,Media,1804.1,En riesgo
205,34,M,Unión libre,3,0,79309,15000,11579,Media,7930.9,En riesgo
206,44,M,Divorciado,1,1,48112,80000,76016,Media,4811.2,En riesgo
207,24,M,Soltero,1,1,9261,120000,110464,Alta,2037.42,En riesgo
208,66,M,Divorciado,3,1,78825,15000,14641,Alta,17341.5,En riesgo
209,70,M,Unión libre,3,1,47340,50000,32358,Media,4734.0,En riesgo
210,30,F,Unión libre,0,1,52045,15000,9430,Baja,1561.35,En riesgo
211,61,F,Divorciado,3,1,19216,120000,105699,Media,1921.6,En riesgo
212,61,F,Divorciado,4,0,47811,15000,12391,Baja,1434.33,En riesgo
213,32,M,Casado,2,1,29578,120000,56640,Alta,6507.16,En observacion
214,48,F,Unión libre,4,0,55301,120000,55724,Baja,1659.03,En observacion
215,65,F,Divorciado,3,1,41984,120000,82970,Baja,1259.52,En riesgo
216,56,F,Soltero,1,0,73303,80000,65607,Media,7330.3,En riesgo
217,35,F,Unión libre,1,0,57118,15000,8778,Baja,1713.54,En observacion
218,45,F,Unión libre,4,0,57231,50000,8121,Media,5723.1,En observacion
219,69,M,Soltero,4,0,47187,120000,91666,Baja,1415.61,En riesgo
220,41,M,Soltero,1,1,18855,120000,12148,Media,1885.5,En observacion
221,27,F,Casado,3,1,62036,120000,102776,Media,6203.6,En riesgo
222,54,M,Soltero,3,0,14421,30000,4454,Media,1442.1,En observacion
223,68,M,Unión libre,3,1,15271,50000,21342,Alta,3359.62,En observacion
224,39,F,Soltero,3,0,52228,80000,33173,Media,5222.8,En observacion
225,23,M,Casado,0,0,49043,30000,27362,Alta,10789.46,En riesgo
226,70,M,Soltero,2,0,54008,50000,6308,Media,5400.8,En observacion
227,58,F,Soltero,1,0,38724,50000,24011,Media,3872.4,En observacion
228,27,F,Casado,2,1,73216,15000,11398,Baja,2196.48,En riesgo
229,69,F,Unión libre,0,1,74647,15000,9599,Media,7464.7,En riesgo
230,70,F,Casado,1,1,76161,30000,19920,Media,7616.1,En riesgo
231,53,F,Unión libre,4,1,66526,50000,40671,Baja,1995.78,En riesgo
232,46,M,Soltero,2,0,71989,50000,18593,Baja,2159.67,En observacion
233,26,F,Unión libre,1,1,21676,50000,4903,Baja,650.28,En observacion
234,33,F,Casado,1,1,70221,30000,16040,Media,7022.1,En observacion
235,35,F,Casado,1,0,45623,80000,46361,Media,4562.3,En observacion
236,47,M,Casado,1,1,40952,80000,54550,Media,4095.2,En riesgo
237,59,M,Divorciado,3,1,35861,30000,9634,Alta,7889.42,En observacion
238,19,F,Casado,3,0,17567,120000,78189,Baja,527.01,En riesgo
239,67,F,Unión libre,4,1,42939,30000,22194,Media,4293.9,En riesgo
240,18,M,Casado,0,1,13780,15000,14905,Baja,413.4,En riesgo
241,24,M,Casado,2,1,46455,15000,8220,Media,4645.5,En observacion
242,24,M,Casado,3,0,49305,50000,13462,Baja,1479.15,En observacion
243,25,F,Divorciado,3,0,37951,80000,64237,Baja,1138.53,En riesgo
244,63,F,Unión libre,3,0,50582,30000,22397,Media,5058.2,En riesgo
245,52,F,Unión libre,2,0,12451,120000,111518,Baja,373.53,En riesgo
246,24,M,Soltero,4,1,57540,80000,8871,Media,5754.0,En observacion
247,51,F,Soltero,4,0,42902,120000,61885,Media,4290.2,En observacion
248,44,M,Casado,0,0,31442,120000,36768,Baja,943.26,En observacion
249,27,M,Unión libre,0,0,8240,120000,40920,Media,824.0,En observacion
250,35,M,Casado,4,1,39275,15000,4047,Alta,8640.5,Saludable
251,44,F,Soltero,1,0,64014,30000,13119,Media,6401.4,En observacion
252,53,M,Soltero,1,1,77996,120000,48107,Alta,17159.12,En observacion
253,46,M,Casado,3,1,21446,80000,56357,Baja,643.38,En riesgo
254,22,F,Soltero,3,1,55609,15000,14188,Media,5560.9,En riesgo
255,40,M,Divorciado,1,1,32907,30000,25194,Baja,987.21,En riesgo
256,31,M,Casado,1,1,24796,50000,32279,Media,2479.6,En riesgo
257,23,F,Divorciado,2,1,22113,50000,38187,Media,2211.3,En riesgo
258,49,M,Unión libre,0,1,20270,15000,10832,Media,2027.0,En riesgo
259,49,M,Divorciado,4,1,73383,50000,27024,Baja,2201.49,En observacion
260,41,F,Soltero,4,0,79864,120000,109131,Media,7986.4,En riesgo
261,66,M,Soltero,2,0,59364,50000,40539,Media,5936.4,En riesgo
262,19,F,Divorciado,2,0,13517,15000,14281,Alta,2973.74,En riesgo
263,20,F,Unión libre,0,1,32294,80000,34240,Baja,968.82,En observacion
264,48,F,Soltero,2,0,47637,15000,14993,Baja,1429.11,En riesgo
265,43,F,Casado,3,1,55117,50000,42488,Baja,1653.51,En riesgo
266,25,M,Unión libre,4,1,55744,50000,27293,Media,5574.4,En observacion
267,66,M,Soltero,3,1,49218,15000,7047,Baja,1476.54,En observacion
268,49,F,Casado,1,0,49359,80000,30477,Media,4935.9,En observacion
269,38,F,Soltero,3,1,9999,15000,5257,Alta,2199.78,En observacion
270,44,F,Unión libre,0,0,14357,15000,11949,Media,1435.7,En riesgo
271,44,F,Divorciado,1,1,77616,15000,5269,Baja,2328.48,En observacion
272,67,F,Divorciado,2,1,78904,30000,21018,Alta,17358.88,En riesgo
273,56,F,Divorciado,2,0,44922,15000,12184,Media,4492.2,En riesgo
274,43,F,Soltero,3,1,73566,80000,14369,Media,7356.6,En observacion
275,39,F,Casado,0,0,62387,15000,12173,Baja,1871.61,En riesgo
276,49,F,Soltero,2,1,16879,50000,28037,Media,1687.9,En observacion
277,41,M,Divorciado,1,0,8416,120000,66454,Media,841.6,En observacion
278,33,M,Casado,4,1,26065,30000,11735,Media,2606.5,En observacion
279,66,M,Soltero,0,1,43884,30000,670,Alta,9654.48,Saludable
280,46,M,Unión libre,0,1,25058,80000,28483,Baja,751.74,En observacion
281,53,F,Soltero,4,0,72639,80000,9759,Alta,15980.58,Saludable
282,29,F,Unión libre,4,0,38714,15000,14298,Media,3871.4,En riesgo
283,65,F,Casado,2,0,41416,120000,84873,Media,4141.6,En riesgo
284,62,F,Casado,3,0,38981,80000,77347,Media,3898.1,En riesgo
285,57,F,Unión libre,3,0,36469,15000,2148,Media,3646.9,En observacion
286,48,F,Casado,1,0,49954,120000,2547,Media,4995.4,En observacion
287,30,F,Divorciado,2,0,66861,30000,19447,Baja,2005.83,En riesgo
288,55,F,Soltero,4,1,71574,50000,49775,Media,7157.4,En riesgo
289,37,F,Divorciado,4,0,61031,50000,28414,Baja,1830.93,En observacion
290,24,M,Soltero,4,0,63027,30000,9337,Media,6302.7,En observacion
291,18,F,Soltero,2,1,15775,50000,20614,Media,1577.5,En observacion
292,25,M,Divorciado,3,1,43328,120000,68276,Media,4332.8,En observacion
293,26,F,Soltero,2,0,49059,80000,42867,Media,4905.9,En observacion
294,35,M,Soltero,2,1,10210,15000,9575,Alta,2246.2,En riesgo
295,66,F,Divorciado,1,0,59745,120000,105574,Media,5974.5,En riesgo
296,30,F,Casado,0,1,79377,30000,853,Media,7937.7,En observacion
297,58,F,Soltero,1,0,40657,80000,3949,Baja,1219.71,En observacion
298,39,M,Casado,4,1,59557,80000,29221,Baja,1786.71,En observacion
299,44,F,Unión libre,1,1,49810,120000,59331,Alta,10958.2,En observacion
300,58,F,Soltero,4,1,63620,120000,95540,Baja,1908.6,En riesgo
301,62,F,Unión libre,0,1,58546,30000,25072,Baja,1756.38,En riesgo
302,46,M,Soltero,4,0,53685,120000,40245,Baja,1610.55,En observacion
303,51,F,Soltero,0,1,55129,80000,27328,Alta,12128.38,En observacion
304,33,F,Soltero,1,1,32600,15000,11818,Alta,7172.0,En riesgo
305,46,F,Soltero,4,1,14468,50000,37252,Media,1446.8,En riesgo
306,43,M,Divorciado,2,0,41391,80000,24480,Alta,9106.02,En observacion
307,43,F,Casado,3,0,77288,80000,29953,Alta,17003.36,En observacion
308,69,M,Casado,1,1,20692,80000,1262,Media,2069.2,En observacion
309,57,M,Unión libre,4,1,75683,80000,2998,Baja,2270.49,En observacion
310,48,F,Divorciado,2,1,8019,30000,7353,Baja,240.57,En observacion
311,46,M,Divorciado,0,1,66080,15000,10450,Baja,1982.4,En riesgo
312,33,M,Unión libre,0,0,50825,50000,27527,Media,5082.5,En observacion
313,49,F,Soltero,4,1,28338,15000,8312,Alta,6234.36,En observacion
314,29,M,Casado,3,1,21033,50000,15784,Media,2103.3,En observacion
315,20,F,Soltero,0,1,73418,50000,3127,Media,7341.8,En observacion
316,58,F,Unión libre,1,0,10583,15000,7945,Baja,317.49,En observacion
317,49,F,Casado,4,1,12322,15000,7965,Media,1232.2,En observacion
318,53,M,Casado,1,1,19402,50000,9306,Media,1940.2,En observacion
319,59,F,Unión libre,4,0,57688,80000,76716,Media,5768.8,En riesgo
320,50,F,Unión libre,3,0,62738,120000,90005,Alta,13802.36,En riesgo
321,50,M,Unión libre,4,1,38863,15000,9940,Media,3886.3,En riesgo
322,65,M,Casado,2,0,13566,80000,14553,Media,1356.6,En observacion
323,61,F,Unión libre,2,1,72394,120000,18507,Baja,2171.82,En observacion
324,62,F,Divorciado,0,1,36884,120000,92290,Media,3688.4,En riesgo
325,53,F,Casado,2,1,12565,50000,20370,Baja,376.95,En observacion
326,65,M,Casado,1,0,48008,50000,34017,Baja,1440.24,En riesgo
327,49,F,Soltero,2,1,28978,50000,8823,Media,2897.8,En observacion
328,25,M,Divorciado,1,1,46126,120000,47179,Baja,1383.78,En observacion
329,32,F,Unión libre,1,0,65798,30000,8376,Media,6579.8,En observacion
330,35,M,Divorciado,1,1,17303,15000,3462,Media,1730.3,En observacion
331,36,M,Unión libre,1,1,36215,30000,12281,Baja,1086.45,En observacion
332,53,M,Casado,1,0,48063,50000,47398,Baja,1441.89,En riesgo
333,29,F,Unión libre,2,1,11457,50000,9920,Baja,343.71,En observacion
334,18,M,Divorciado,4,1,46438,30000,21844,Media,4643.8,En riesgo
335,63,M,Divorciado,0,0,74316,120000,75458,Alta,16349.52,En riesgo
336,31,F,Divorciado,3,1,41544,50000,6223,Baja,1246.32,En observacion
337,25,F,Divorciado,1,0,70957,80000,79369,Alta,15610.54,En riesgo
338,29,F,Divorciado,2,0,41906,15000,2263,Baja,1257.18,En observacion
339,67,M,Divorciado,3,0,35718,30000,19015,Media,3571.8,En riesgo
340,59,M,Casado,4,1,46177,15000,11549,Alta,10158.94,En riesgo
341,53,F,Casado,4,0,50942,80000,48820,Alta,11207.24,En riesgo
342,51,F,Unión libre,1,0,36241,50000,45627,Media,3624.1,En riesgo
343,21,F,Casado,1,1,13877,50000,38347,Baja,416.31,En riesgo
344,20,M,Soltero,1,0,21447,30000,6869,Media,2144.7,En observacion
345,66,M,Unión libre,4,1,68510,30000,25790,Media,6851.0,En riesgo
346,40,F,Casado,2,0,69235,15000,8066,Baja,2077.05,En observacion
347,30,F,Unión libre,1,1,28026,15000,3071,Alta,6165.72,Saludable
348,39,F,Unión libre,1,0,60813,30000,26871,Baja,1824.39,En riesgo
349,47,F,Soltero,4,0,34051,120000,30087,Media,3405.1,En observacion
350,23,M,Casado,0,1,10352,15000,8557,Media,1035.2,En observacion
351,61,M,Divorciado,4,0,54860,50000,46354,Media,5486.0,En riesgo
352,42,F,Unión libre,1,0,44344,15000,12491,Baja,1330.32,En riesgo
353,38,M,Divorciado,4,0,26294,15000,13373,Baja,788.82,En riesgo
354,48,M,Soltero,2,1,78524,30000,2528,Media,7852.4,En observacion
355,29,M,Soltero,2,0,25204,30000,1393,Media,2520.4,En observacion
356,37,M,Unión libre,0,0,59742,120000,84167,Media,5974.2,En riesgo
357,29,M,Divorciado,4,0,52345,50000,34649,Media,5234.5,En riesgo
358,37,F,Soltero,4,0,46207,120000,60474,Media,4620.7,En observacion
359,36,M,Divorciado,2,1,8400,120000,116613,Baja,252.0,En riesgo
360,56,F,Divorciado,2,0,34798,30000,14934,Baja,1043.94,En observacion
361,43,M,Divorciado,1,1,8512,30000,17143,Media,851.2,En observacion
362,52,F,Soltero,2,0,32482,30000,21171,Alta,7146.04,En riesgo
363,55,M,Casado,2,1,41628,120000,77919,Baja,1248.84,En riesgo
